description,url,name,task_code,category,url_doc,input_type,bp_workshop_name,bp_workshop_description
Sparse to Sparse transform for polynomial interactions,no url,Sparse to Sparse transform for polynomial interactions,SPOLY,Numeric Preprocessing,no documentation retrieved,NUM,Sparse Interaction Machine,Sparse to Sparse transform for polynomial interactions
Bin numerical values into non-uniform bins using decision trees,no url,Bin numerical values into non-uniform bins using decision trees,BINNING,Numeric Preprocessing,no documentation retrieved,NUM,Binning of numerical variables,Bin numerical values into non-uniform bins using decision trees
One-Hot (or dummy-variable) transformation of categorical features,no url,One-Hot (or dummy-variable) transformation of categorical features,PDM3,Numeric Preprocessing,no documentation retrieved,NUM,One-Hot Encoding,One-Hot (or dummy-variable) transformation of categorical features
"Median Value-Based Numeric Imputation (V2 with quick median algorithm)
    
    For a numeric feature, impute rows of missing values with median value (V2).
    
    Impute missing values on numeric variables with their median and create
    indicator variables to identify records that were imputed. A quick median algorithm (based on
    np.partition) is implemented to compute median feature value.
    
    **Imputation strategy:**
    
    A numeric feature is imputed with the median value if there are enough finite values in the feature
    samples used to train a numeric imputation task (e.g., `> t`, default: 50) and there are rows with
    NaN or infinite values in the samples to be imputed.
    
    After imputation, the imputed numeric features will be scaled if the argument `S` is set to
    True. The feature will use scaled rounding (i.e., rounding to a logarithmic scale).
    
    **Imputation indicator:**
    
    The indicator column (0, 1) is added to indicate imputed rows if the numeric feature is imputed with
    : 1) the median value and with at least one row with NaN and 2) at least two unique values.
    
    **Example:**
    
    An imputation task is initialized with t=2.
    
    Input numeric features of this task:
    
    feature0, feature1, feature2, feature3
    
    1, 2, np.nan, np.nan
    
    2, 3, np.nan, 18
    
    3, 2, np.nan, 16
    
    4, 1, 13, 14
    
    20, 1, 45, 46
    
    Output numeric features of this task:
    
    feature0, feature1, feature2, feature2-mi, feature3, feature3-mi
    
    1, 2, 45, 1, 18, 1
    
    2, 3, 45, 1, 18, 0
    
    3, 2, 45, 1, 16, 0
    
    4, 1, 13, 0, 14, 0
    
    20, 1, 45, 0, 46, 0
    
    In the imputation output, median value imputation is run on feature2 and feature3. The feature2-mi
    is the indicator column for the imputation on feature2. The feature3-mi is the indicator column for
    the imputation on feature3.
    
    Parameters
    ----------
    threshold (t): int (default='50')
        Minimum number of required finite elements in a column
        to impute the data onto NaNs and INFs.
        ``values: [1, 99999]``
    scale_small (s): bool (default='False')
        True if small values (range of the numeric variable is <= 1) are to be scaled.
        ``values: [False, True]``
    
    References
    ----------
    .. [1] [1] Acuna, Edgar, and Caroline Rodriguez.
       ""The treatment of missing values and its effect on classifier accuracy.""
       Classification, Clustering, and Data Mining Applications.
       Springer Berlin Heidelberg, 2004. 639-647.
       `[link]
       <https://link.springer.com/chapter/10.1007/978-3-642-17103-1_60>`__
    .. [2] [2] Feelders, Ad.
       ""Handling missing data in trees: Surrogate splits or statistical imputation?""
       Principles of Data Mining and Knowledge Discovery. Springer Berlin Heidelberg, 1999. 329-334.
       `[link]
       <http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.36.7991&rep=rep1&type=pdf>`__
    
    See Also
    --------",no url,Median Value-Based Numeric Imputation (V2 with quick median algorithm),PNI2,Numeric Preprocessing,no documentation retrieved,NUM,Missing Values Imputed (quick median),Impute missing values on numeric variables with their median and create indicator variables to mark imputed records 
Greedy Search for ratios.  Adds pairs of ratios to a linear model until the model stops improving.  Then adds those ratios to the main dataset.,no url,Greedy Search for ratios,RATIO3,Numeric Preprocessing,no documentation retrieved,NUM,Search for ratios,Greedy Search for ratios.  Adds pairs of ratios to a linear model until the model stops improving.  Then adds those ratios to the main dataset.
Normalize features by scaling samples individually to unit norm. Based on scikit-learn Normalize,https://scikit-learn.org/stable/modules/generated/sklearn.preprocessing.Normalizer.html#sklearn.preprocessing.Normalizer,Normalize features by scaling samples individually to unit norm,NORM,Numeric Preprocessing,"













Normalizer — scikit-learn 1.5.2 documentation















































Skip to main content


Back to top










Ctrl+K
























    Install
  



    User Guide
  



    API
  



    Examples
  



    Community
  



                    More
                



    Getting Started
  



    Release History
  



    Glossary
  



    Development
  



    FAQ
  



    Support
  



    Related Projects
  



    Roadmap
  



    Governance
  



    About us
  















GitHub
























    Install
  



    User Guide
  



    API
  



    Examples
  



    Community
  



    Getting Started
  



    Release History
  



    Glossary
  



    Development
  



    FAQ
  



    Support
  



    Related Projects
  



    Roadmap
  



    Governance
  



    About us
  










GitHub









Section Navigation

sklearn
config_context
get_config
set_config
show_versions


sklearn.base
BaseEstimator
BiclusterMixin
ClassNamePrefixFeaturesOutMixin
ClassifierMixin
ClusterMixin
DensityMixin
MetaEstimatorMixin
OneToOneFeatureMixin
OutlierMixin
RegressorMixin
TransformerMixin
clone
is_classifier
is_regressor


sklearn.calibration
CalibratedClassifierCV
calibration_curve
CalibrationDisplay


sklearn.cluster
AffinityPropagation
AgglomerativeClustering
Birch
BisectingKMeans
DBSCAN
FeatureAgglomeration
HDBSCAN
KMeans
MeanShift
MiniBatchKMeans
OPTICS
SpectralBiclustering
SpectralClustering
SpectralCoclustering
affinity_propagation
cluster_optics_dbscan
cluster_optics_xi
compute_optics_graph
dbscan
estimate_bandwidth
k_means
kmeans_plusplus
mean_shift
spectral_clustering
ward_tree


sklearn.compose
ColumnTransformer
TransformedTargetRegressor
make_column_selector
make_column_transformer


sklearn.covariance
EllipticEnvelope
EmpiricalCovariance
GraphicalLasso
GraphicalLassoCV
LedoitWolf
MinCovDet
OAS
ShrunkCovariance
empirical_covariance
graphical_lasso
ledoit_wolf
ledoit_wolf_shrinkage
oas
shrunk_covariance


sklearn.cross_decomposition
CCA
PLSCanonical
PLSRegression
PLSSVD


sklearn.datasets
clear_data_home
dump_svmlight_file
fetch_20newsgroups
fetch_20newsgroups_vectorized
fetch_california_housing
fetch_covtype
fetch_kddcup99
fetch_lfw_pairs
fetch_lfw_people
fetch_olivetti_faces
fetch_openml
fetch_rcv1
fetch_species_distributions
get_data_home
load_breast_cancer
load_diabetes
load_digits
load_files
load_iris
load_linnerud
load_sample_image
load_sample_images
load_svmlight_file
load_svmlight_files
load_wine
make_biclusters
make_blobs
make_checkerboard
make_circles
make_classification
make_friedman1
make_friedman2
make_friedman3
make_gaussian_quantiles
make_hastie_10_2
make_low_rank_matrix
make_moons
make_multilabel_classification
make_regression
make_s_curve
make_sparse_coded_signal
make_sparse_spd_matrix
make_sparse_uncorrelated
make_spd_matrix
make_swiss_roll


sklearn.decomposition
DictionaryLearning
FactorAnalysis
FastICA
IncrementalPCA
KernelPCA
LatentDirichletAllocation
MiniBatchDictionaryLearning
MiniBatchNMF
MiniBatchSparsePCA
NMF
PCA
SparseCoder
SparsePCA
TruncatedSVD
dict_learning
dict_learning_online
fastica
non_negative_factorization
sparse_encode


sklearn.discriminant_analysis
LinearDiscriminantAnalysis
QuadraticDiscriminantAnalysis


sklearn.dummy
DummyClassifier
DummyRegressor


sklearn.ensemble
AdaBoostClassifier
AdaBoostRegressor
BaggingClassifier
BaggingRegressor
ExtraTreesClassifier
ExtraTreesRegressor
GradientBoostingClassifier
GradientBoostingRegressor
HistGradientBoostingClassifier
HistGradientBoostingRegressor
IsolationForest
RandomForestClassifier
RandomForestRegressor
RandomTreesEmbedding
StackingClassifier
StackingRegressor
VotingClassifier
VotingRegressor


sklearn.exceptions
ConvergenceWarning
DataConversionWarning
DataDimensionalityWarning
EfficiencyWarning
FitFailedWarning
InconsistentVersionWarning
NotFittedError
UndefinedMetricWarning


sklearn.experimental
enable_halving_search_cv
enable_iterative_imputer


sklearn.feature_extraction
DictVectorizer
FeatureHasher
PatchExtractor
extract_patches_2d
grid_to_graph
img_to_graph
reconstruct_from_patches_2d
CountVectorizer
HashingVectorizer
TfidfTransformer
TfidfVectorizer


sklearn.feature_selection
GenericUnivariateSelect
RFE
RFECV
SelectFdr
SelectFpr
SelectFromModel
SelectFwe
SelectKBest
SelectPercentile
SelectorMixin
SequentialFeatureSelector
VarianceThreshold
chi2
f_classif
f_regression
mutual_info_classif
mutual_info_regression
r_regression


sklearn.gaussian_process
GaussianProcessClassifier
GaussianProcessRegressor
CompoundKernel
ConstantKernel
DotProduct
ExpSineSquared
Exponentiation
Hyperparameter
Kernel
Matern
PairwiseKernel
Product
RBF
RationalQuadratic
Sum
WhiteKernel


sklearn.impute
IterativeImputer
KNNImputer
MissingIndicator
SimpleImputer


sklearn.inspection
partial_dependence
permutation_importance
DecisionBoundaryDisplay
PartialDependenceDisplay


sklearn.isotonic
IsotonicRegression
check_increasing
isotonic_regression


sklearn.kernel_approximation
AdditiveChi2Sampler
Nystroem
PolynomialCountSketch
RBFSampler
SkewedChi2Sampler


sklearn.kernel_ridge
KernelRidge


sklearn.linear_model
LogisticRegression
LogisticRegressionCV
PassiveAggressiveClassifier
Perceptron
RidgeClassifier
RidgeClassifierCV
SGDClassifier
SGDOneClassSVM
LinearRegression
Ridge
RidgeCV
SGDRegressor
ElasticNet
ElasticNetCV
Lars
LarsCV
Lasso
LassoCV
LassoLars
LassoLarsCV
LassoLarsIC
OrthogonalMatchingPursuit
OrthogonalMatchingPursuitCV
ARDRegression
BayesianRidge
MultiTaskElasticNet
MultiTaskElasticNetCV
MultiTaskLasso
MultiTaskLassoCV
HuberRegressor
QuantileRegressor
RANSACRegressor
TheilSenRegressor
GammaRegressor
PoissonRegressor
TweedieRegressor
PassiveAggressiveRegressor
enet_path
lars_path
lars_path_gram
lasso_path
orthogonal_mp
orthogonal_mp_gram
ridge_regression


sklearn.manifold
Isomap
LocallyLinearEmbedding
MDS
SpectralEmbedding
TSNE
locally_linear_embedding
smacof
spectral_embedding
trustworthiness


sklearn.metrics
check_scoring
get_scorer
get_scorer_names
make_scorer
accuracy_score
auc
average_precision_score
balanced_accuracy_score
brier_score_loss
class_likelihood_ratios
classification_report
cohen_kappa_score
confusion_matrix
d2_log_loss_score
dcg_score
det_curve
f1_score
fbeta_score
hamming_loss
hinge_loss
jaccard_score
log_loss
matthews_corrcoef
multilabel_confusion_matrix
ndcg_score
precision_recall_curve
precision_recall_fscore_support
precision_score
recall_score
roc_auc_score
roc_curve
top_k_accuracy_score
zero_one_loss
d2_absolute_error_score
d2_pinball_score
d2_tweedie_score
explained_variance_score
max_error
mean_absolute_error
mean_absolute_percentage_error
mean_gamma_deviance
mean_pinball_loss
mean_poisson_deviance
mean_squared_error
mean_squared_log_error
mean_tweedie_deviance
median_absolute_error
r2_score
root_mean_squared_error
root_mean_squared_log_error
coverage_error
label_ranking_average_precision_score
label_ranking_loss
adjusted_mutual_info_score
adjusted_rand_score
calinski_harabasz_score
contingency_matrix
pair_confusion_matrix
completeness_score
davies_bouldin_score
fowlkes_mallows_score
homogeneity_completeness_v_measure
homogeneity_score
mutual_info_score
normalized_mutual_info_score
rand_score
silhouette_samples
silhouette_score
v_measure_score
consensus_score
DistanceMetric
additive_chi2_kernel
chi2_kernel
cosine_distances
cosine_similarity
distance_metrics
euclidean_distances
haversine_distances
kernel_metrics
laplacian_kernel
linear_kernel
manhattan_distances
nan_euclidean_distances
paired_cosine_distances
paired_distances
paired_euclidean_distances
paired_manhattan_distances
pairwise_kernels
polynomial_kernel
rbf_kernel
sigmoid_kernel
pairwise_distances
pairwise_distances_argmin
pairwise_distances_argmin_min
pairwise_distances_chunked
ConfusionMatrixDisplay
DetCurveDisplay
PrecisionRecallDisplay
PredictionErrorDisplay
RocCurveDisplay


sklearn.mixture
BayesianGaussianMixture
GaussianMixture


sklearn.model_selection
GroupKFold
GroupShuffleSplit
KFold
LeaveOneGroupOut
LeaveOneOut
LeavePGroupsOut
LeavePOut
PredefinedSplit
RepeatedKFold
RepeatedStratifiedKFold
ShuffleSplit
StratifiedGroupKFold
StratifiedKFold
StratifiedShuffleSplit
TimeSeriesSplit
check_cv
train_test_split
GridSearchCV
HalvingGridSearchCV
HalvingRandomSearchCV
ParameterGrid
ParameterSampler
RandomizedSearchCV
FixedThresholdClassifier
TunedThresholdClassifierCV
cross_val_predict
cross_val_score
cross_validate
learning_curve
permutation_test_score
validation_curve
LearningCurveDisplay
ValidationCurveDisplay


sklearn.multiclass
OneVsOneClassifier
OneVsRestClassifier
OutputCodeClassifier


sklearn.multioutput
ClassifierChain
MultiOutputClassifier
MultiOutputRegressor
RegressorChain


sklearn.naive_bayes
BernoulliNB
CategoricalNB
ComplementNB
GaussianNB
MultinomialNB


sklearn.neighbors
BallTree
KDTree
KNeighborsClassifier
KNeighborsRegressor
KNeighborsTransformer
KernelDensity
LocalOutlierFactor
NearestCentroid
NearestNeighbors
NeighborhoodComponentsAnalysis
RadiusNeighborsClassifier
RadiusNeighborsRegressor
RadiusNeighborsTransformer
kneighbors_graph
radius_neighbors_graph
sort_graph_by_row_values


sklearn.neural_network
BernoulliRBM
MLPClassifier
MLPRegressor


sklearn.pipeline
FeatureUnion
Pipeline
make_pipeline
make_union


sklearn.preprocessing
Binarizer
FunctionTransformer
KBinsDiscretizer
KernelCenterer
LabelBinarizer
LabelEncoder
MaxAbsScaler
MinMaxScaler
MultiLabelBinarizer
Normalizer
OneHotEncoder
OrdinalEncoder
PolynomialFeatures
PowerTransformer
QuantileTransformer
RobustScaler
SplineTransformer
StandardScaler
TargetEncoder
add_dummy_feature
binarize
label_binarize
maxabs_scale
minmax_scale
normalize
power_transform
quantile_transform
robust_scale
scale


sklearn.random_projection
GaussianRandomProjection
SparseRandomProjection
johnson_lindenstrauss_min_dim


sklearn.semi_supervised
LabelPropagation
LabelSpreading
SelfTrainingClassifier


sklearn.svm
LinearSVC
LinearSVR
NuSVC
NuSVR
OneClassSVM
SVC
SVR
l1_min_c


sklearn.tree
DecisionTreeClassifier
DecisionTreeRegressor
ExtraTreeClassifier
ExtraTreeRegressor
export_graphviz
export_text
plot_tree


sklearn.utils
Bunch
_safe_indexing
as_float_array
assert_all_finite
deprecated
estimator_html_repr
gen_batches
gen_even_slices
indexable
murmurhash3_32
resample
safe_mask
safe_sqr
shuffle
check_X_y
check_array
check_consistent_length
check_random_state
check_scalar
check_is_fitted
check_memory
check_symmetric
column_or_1d
has_fit_parameter
available_if
compute_class_weight
compute_sample_weight
is_multilabel
type_of_target
unique_labels
density
fast_logdet
randomized_range_finder
randomized_svd
safe_sparse_dot
weighted_mode
incr_mean_variance_axis
inplace_column_scale
inplace_csr_column_scale
inplace_row_scale
inplace_swap_column
inplace_swap_row
mean_variance_axis
inplace_csr_row_normalize_l1
inplace_csr_row_normalize_l2
single_source_shortest_path_length
sample_without_replacement
min_pos
MetadataRequest
MetadataRouter
MethodMapping
get_routing_for_object
process_routing
all_displays
all_estimators
all_functions
check_estimator
parametrize_with_checks
Parallel
delayed


Recently Deprecated
parallel_backend
register_parallel_backend
























API Reference
sklearn.preprocessing
Normalizer









Normalizer#


class sklearn.preprocessing.Normalizer(norm='l2', *, copy=True)[source]#
Normalize samples individually to unit norm.
Each sample (i.e. each row of the data matrix) with at least one
non zero component is rescaled independently of other samples so
that its norm (l1, l2 or inf) equals one.
This transformer is able to work both with dense numpy arrays and
scipy.sparse matrix (use CSR format if you want to avoid the burden of
a copy / conversion).
Scaling inputs to unit norms is a common operation for text
classification or clustering for instance. For instance the dot
product of two l2-normalized TF-IDF vectors is the cosine similarity
of the vectors and is the base similarity metric for the Vector
Space Model commonly used by the Information Retrieval community.
For an example visualization, refer to Compare Normalizer with other
scalers.
Read more in the User Guide.

Parameters:

norm{‘l1’, ‘l2’, ‘max’}, default=’l2’The norm to use to normalize each non zero sample. If norm=’max’
is used, values will be rescaled by the maximum of the absolute
values.

copybool, default=TrueSet to False to perform inplace row normalization and avoid a
copy (if the input is already a numpy array or a scipy.sparse
CSR matrix).



Attributes:

n_features_in_intNumber of features seen during fit.

Added in version 0.24.


feature_names_in_ndarray of shape (n_features_in_,)Names of features seen during fit. Defined only when X
has feature names that are all strings.

Added in version 1.0.






See also

normalizeEquivalent function without the estimator API.



Notes
This estimator is stateless and does not need to be fitted.
However, we recommend to call fit_transform instead of
transform, as parameter validation is only performed in
fit.
Examples
>>> from sklearn.preprocessing import Normalizer
>>> X = [[4, 1, 2, 2],
...      [1, 3, 9, 3],
...      [5, 7, 5, 1]]
>>> transformer = Normalizer().fit(X)  # fit does nothing.
>>> transformer
Normalizer()
>>> transformer.transform(X)
array([[0.8, 0.2, 0.4, 0.4],
       [0.1, 0.3, 0.9, 0.3],
       [0.5, 0.7, 0.5, 0.1]])




fit(X, y=None)[source]#
Only validates estimator’s parameters.
This method allows to: (i) validate the estimator’s parameters and
(ii) be consistent with the scikit-learn transformer API.

Parameters:

X{array-like, sparse matrix} of shape (n_samples, n_features)The data to estimate the normalization parameters.

yIgnoredNot used, present here for API consistency by convention.



Returns:

selfobjectFitted transformer.







fit_transform(X, y=None, **fit_params)[source]#
Fit to data, then transform it.
Fits transformer to X and y with optional parameters fit_params
and returns a transformed version of X.

Parameters:

Xarray-like of shape (n_samples, n_features)Input samples.

yarray-like of shape (n_samples,) or (n_samples, n_outputs),                 default=NoneTarget values (None for unsupervised transformations).

**fit_paramsdictAdditional fit parameters.



Returns:

X_newndarray array of shape (n_samples, n_features_new)Transformed array.







get_feature_names_out(input_features=None)[source]#
Get output feature names for transformation.

Parameters:

input_featuresarray-like of str or None, default=NoneInput features.

If input_features is None, then feature_names_in_ is
used as feature names in. If feature_names_in_ is not defined,
then the following input feature names are generated:
[""x0"", ""x1"", ..., ""x(n_features_in_ - 1)""].
If input_features is an array-like, then input_features must
match feature_names_in_ if feature_names_in_ is defined.




Returns:

feature_names_outndarray of str objectsSame as input features.







get_metadata_routing()[source]#
Get metadata routing of this object.
Please check User Guide on how the routing
mechanism works.

Returns:

routingMetadataRequestA MetadataRequest encapsulating
routing information.







get_params(deep=True)[source]#
Get parameters for this estimator.

Parameters:

deepbool, default=TrueIf True, will return the parameters for this estimator and
contained subobjects that are estimators.



Returns:

paramsdictParameter names mapped to their values.







set_output(*, transform=None)[source]#
Set output container.
See Introducing the set_output API
for an example on how to use the API.

Parameters:

transform{“default”, “pandas”, “polars”}, default=NoneConfigure output of transform and fit_transform.

""default"": Default output format of a transformer
""pandas"": DataFrame output
""polars"": Polars output
None: Transform configuration is unchanged


Added in version 1.4: ""polars"" option was added.




Returns:

selfestimator instanceEstimator instance.







set_params(**params)[source]#
Set the parameters of this estimator.
The method works on simple estimators as well as on nested objects
(such as Pipeline). The latter have
parameters of the form <component>__<parameter> so that it’s
possible to update each component of a nested object.

Parameters:

**paramsdictEstimator parameters.



Returns:

selfestimator instanceEstimator instance.







set_transform_request(*, copy: bool | None | str = '$UNCHANGED$') → Normalizer[source]#
Request metadata passed to the transform method.
Note that this method is only relevant if
enable_metadata_routing=True (see sklearn.set_config).
Please see User Guide on how the routing
mechanism works.
The options for each parameter are:

True: metadata is requested, and passed to transform if provided. The request is ignored if metadata is not provided.
False: metadata is not requested and the meta-estimator will not pass it to transform.
None: metadata is not requested, and the meta-estimator will raise an error if the user provides it.
str: metadata should be passed to the meta-estimator with this given alias instead of the original name.

The default (sklearn.utils.metadata_routing.UNCHANGED) retains the
existing request. This allows you to change the request for some
parameters and not others.

Added in version 1.3.


Note
This method is only relevant if this estimator is used as a
sub-estimator of a meta-estimator, e.g. used inside a
Pipeline. Otherwise it has no effect.


Parameters:

copystr, True, False, or None,                     default=sklearn.utils.metadata_routing.UNCHANGEDMetadata routing for copy parameter in transform.



Returns:

selfobjectThe updated object.







transform(X, copy=None)[source]#
Scale each non zero row of X to unit norm.

Parameters:

X{array-like, sparse matrix} of shape (n_samples, n_features)The data to normalize, row by row. scipy.sparse matrices should be
in CSR format to avoid an un-necessary copy.

copybool, default=NoneCopy the input X or not.



Returns:

X_tr{ndarray, sparse matrix} of shape (n_samples, n_features)Transformed array.







Gallery examples#

Scalable learning with polynomial kernel approximation
Scalable learning with polynomial kernel approximation

Compare the effect of different scalers on data with outliers
Compare the effect of different scalers on data with outliers

Clustering text documents using k-means
Clustering text documents using k-means










previous
MultiLabelBinarizer




next
OneHotEncoder










 On this page
  


Normalizer
fit
fit_transform
get_feature_names_out
get_metadata_routing
get_params
set_output
set_params
set_transform_request
transform


Gallery examples





 Show Source
    

















    
      © Copyright 2007 - 2024, scikit-learn developers (BSD License).
      






",NUM,Normalizer,Normalize features by scaling samples individually to unit norm. Based on scikit-learn Normalize
Convert numeric features into piece-wise constant spline base expansion. Missing values are inputed with the median prior to creating splines,no url,Convert numeric features into piece-wise constant spline base expansion,GS,Numeric Preprocessing,no documentation retrieved,NUM,Constant Splines,Convert numeric features into piece-wise constant spline base expansion. Missing values are inputed with the median prior to creating splines
"Greedy Search for differences between pairs of features, using a proprietary DataRobot-developed methodology",no url,"Greedy Search for differences between pairs of features, using a proprietary DataRobot-developed methodology",DIFF3,Numeric Preprocessing,no documentation retrieved,NUM,Search for differences,"Greedy Search for differences between pairs of features, using a proprietary DataRobot-developed methodology"
Impute missing/disguised missing values on numeric variables with their median and create indicator variables to mark records with data quality issues,no url,Impute missing/disguised missing values on numeric variables with their median and create indicator variables to mark records with data quality issues,NDC,Data Quality,no documentation retrieved,NUM,Numeric Data Cleansing,Impute missing/disguised missing values on numeric variables with their median and create indicator variables to mark records with data quality issues
"Arbitrary or median value-based numeric imputation (V4 with memory usage optimization)
    
    For a numeric feature, impute rows of missing values with an arbitrary (default: -9999) or
    median value. It also outputs the extra features (0, 1) indicating imputed rows.
    
    This is effective for tree-based models, as they can learn a split between the arbitrary value
    (-9999) and the rest of the data (which ideally will not overlap this value). More advanced
    tree-based models usually use a method called ""surrogate splits."" For models that don't support this
    method, arbitrary-value imputation is a method that yields very similar results.
    
    **Imputation strategy:**
    
    A numeric feature is imputed with the arbitrary value (default: -9999) if it:
    
    - has enough rows with finite values (e.g., `> t`, default: 10).
    
    - has large number of rows with NaN (e.g., `> min_cna`, default: 5).
    
    - is not configured as a monotonic-constrained feature.
    
    Other numeric features will be imputed with the median value, if necessary.
    After imputation, the imputed numeric features will be scaled if the argument `S` is set to
    True.
    
    **Imputation indicator:**
    
    The indicator column (0, 1) is added to indicate imputed rows if the numeric feature:
    
    - is imputed with the median value.
    
    - has at least one row with nan.
    
    - has at least one unique value.
    
    **Example:**
    
    An imputation task is initialized with t=2 and min_cna=2.
    
    Input numeric features of this task:
    
    feature0,feature1,feature2,feature3
    
    1.0, 2.0, NaN, NaN,
    
    2.0, 3.0, NaN, 18.0
    
    3.0, 2.0, NaN, 16.0
    
    4.0, 1.0, NaN, 14.0
    
    5.0, 4.0, 2.0, 15.0
    
    20.0, 1.0, 45.0, 46.0
    
    Output numeric features of this task:
    
    feature0, feature1, feature2, feature3, feature3-mi
    
    1.0, 2.0, -9999.0, 16.0, 1.0
    
    2.0, 3.0, -9999.0, 18.0, 0.0
    
    3.0, 2.0, -9999.0, 16.0, 0.0
    
    4.0, 1.0, -9999.0, 14.0, 0.0
    
    5.0, 4.0, 2.0, 15.0, 0.0
    
    20.0, 1.0, 45.0, 46.0, 0.0
    
    - Arbitrary value imputation is run on the feature 2 (num of nan rows >= min_cna).
    
    - Median value imputation is run on the feature 3.
    
    - The feature3-mi is the indicator column for the imputation on feature 3.
    
    **Implementation**
        - Uses custom numpy logic
    
    Parameters
    ----------
    threshold (t): int (default='10')
        Minimum number of finite elements required in a column for it to be considered for imputation
        (with arbitrary or median value)
        ``values: [0, 99999]``
    scale_small (s): bool (default='False')
        True if small values (the numeric variable is in a range of (0, 0.1]) are to be scaled
        ``values: [False, True]``
    arbimp (m): int (default='-9999')
        Value to be used for imputing
        ``values: [-99999, 99999]``
    min_count_na (min_cna): int (default='5')
        Minimum number of missing values required for arbitrary imputation
        ``values: [0, 99999]``
    mono_up (mono_up): string
        ID of the featurelist specifying the set of features to apply as monotonically increasing
        in relation to the target
    mono_down (mono_down): string
        ID of the featurelist specifying the set of features to apply as monotonically decreasing
        in relation to the target
    
    References
    ----------
    .. [1] [1] Feelders, Ad.
       ""Handling missing data in trees: Surrogate splits or statistical imputation?""
       Principles of Data Mining and Knowledge Discovery. Springer Berlin Heidelberg, 1999. 329-334.
       `[link]
       <http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.36.7991&rep=rep1&type=pdf>`__
    
    See Also
    --------",no url,Arbitrary or median value-based numeric imputation (V4 with memory usage optimization),PNIA4,Data Quality,no documentation retrieved,NUM,Missing Values Imputed (arbitrary or quick median),Impute missing values on numeric variables with arbitrary number
